,cow_id,breed_event_id,first_recheck_DSLB,resolution_DSLB,days_to_resolution,samples_to_resolution,final_status
186,12677.0401430.0,12677.0401430.0_2021_12_1,35,35,0,3,rc_loss
187,12678.0401430.0,12678.0401430.0_2022_3_2,30,30,0,2,rc_open
188,12679.0401430.0,12679.0401430.0_2023_3_3,35,35,0,3,rc_preg
189,12713.0401430.0,12713.0401430.0_2023_4_3,40,40,0,2,rc_open
190,12739.0392159.0,12739.0392159.0_2022_3_1,36,36,0,2,rc_open
191,12753.0401430.0,12753.0401430.0_2022_11_2,35,35,0,6,rc_preg
192,12760.0401430.0,12760.0401430.0_2022_12_2,36,36,0,1,rc_open
193,12788.0401430.0,12788.0401430.0_2022_11_2,35,35,0,1,rc_open
194,12802.0401430.0,12802.0401430.0_2022_1_1,34,34,0,1,rc_open
195,12804.0401430.0,12804.0401430.0_2025_2_4,35,35,0,2,rc_open
196,12806.0401430.0,12806.0401430.0_2023_2_1,36,36,0,1,rc_open
197,12806.0401430.0,12806.0401430.0_2023_5_2,41,41,0,5,rc_preg
198,12842.0401430.0,12842.0401430.0_2022_1_1,28,28,0,2,rc_open
199,12860.0401430.0,12860.0401430.0_2023_7_3,40,40,0,2,rc_open
200,12886.0401430.0,12886.0401430.0_2022_2_1,28,28,0,2,rc_loss
201,12897.0401430.0,12897.0401430.0_2022_1_1,36,36,0,2,rc_open
202,12909.0401430.0,12909.0401430.0_2024_7_4,71,71,0,2,rc_preg
203,12917.0401430.0,12917.0401430.0_2023_6_3,36,36,0,5,rc_open
204,12929.0401430.0,12929.0401430.0_2021_12_1,28,28,0,3,rc_open
205,12939.0401430.0,12939.0401430.0_2023_6_3,36,36,0,2,rc_open
206,12949.0401430.0,12949.0401430.0_2024_6_5,71,71,0,2,rc_open
207,12984.0401430.0,12984.0401430.0_2022_1_2,28,28,0,2,rc_open
208,12984.0401430.0,12984.0401430.0_2023_3_4,36,36,0,2,rc_open
209,12985.0401430.0,12985.0401430.0_2023_6_2,39,39,0,2,rc_open
210,12994.0401430.0,12994.0401430.0_2023_2_3,35,35,0,1,rc_open
211,13013.0401430.0,13013.0401430.0_2023_3_3,38,38,0,2,rc_open
212,13019.0401430.0,13019.0401430.0_2023_6_3,38,38,0,1,rc_open
213,13021.0401430.0,13021.0401430.0_2022_1_1,29,29,0,1,rc_open
214,13034.0401430.0,13034.0401430.0_2025_8_4,38,38,0,3,rc_loss
215,13044.0401430.0,13044.0401430.0_2022_6_3,35,35,0,2,rc_open
216,1306.0401430.0,1306.0401430.0_2021_11_1,65,65,0,2,rc_preg
217,1306.0401430.0,1306.0401430.0_2022_11_2,36,36,0,4,rc_preg
218,13061.0401430.0,13061.0401430.0_2023_7_5,42,42,0,4,rc_preg
219,13065.0401430.0,13065.0401430.0_2023_2_2,41,41,0,2,rc_open
220,13074.0401430.0,13074.0401430.0_2021_12_1,70,70,0,2,rc_preg
221,13119.0401430.0,13119.0401430.0_2025_2_4,36,36,0,2,rc_open
222,13119.0401430.0,13119.0401430.0_2025_4_5,35,35,0,2,rc_loss
223,13140.0401430.0,13140.0401430.0_2023_9_5,39,39,0,5,rc_preg
224,13150.0401430.0,13150.0401430.0_2022_1_1,28,28,0,2,rc_preg
225,13173.0401430.0,13173.0401430.0_2025_5_4,42,42,0,1,rc_open
226,13176.0401430.0,13176.0401430.0_2023_3_3,36,36,0,2,rc_open
227,13181.0401430.0,13181.0401430.0_2023_3_2,37,37,0,1,rc_open
228,13197.0401430.0,13197.0401430.0_2023_2_3,36,36,0,2,rc_open
229,13228.0401430.0,13228.0401430.0_2023_4_2,36,36,0,5,rc_preg
230,13231.0401430.0,13231.0401430.0_2023_6_4,41,41,0,5,rc_preg
231,13260.0401430.0,13260.0401430.0_2023_2_2,36,36,0,3,rc_open
232,13279.0401430.0,13279.0401430.0_2022_5_2,39,39,0,1,rc_open
233,13292.0401430.0,13292.0401430.0_2024_7_3,65,65,0,2,rc_preg
234,13296.0401430.0,13296.0401430.0_2024_10_5,39,39,0,2,rc_open
235,13310.0401430.0,13310.0401430.0_2023_2_2,36,36,0,1,rc_open
